glyph	codepoint	block	cl100k	o200k	tier	unicode_name
伍	U+4F0D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F0D
伏	U+4F0F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F0F
休	U+4F11	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F11
众	U+4F17	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F17
伙	U+4F19	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F19
伝	U+4F1D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F1D
伟	U+4F1F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F1F
伤	U+4F24	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F24
伦	U+4F26	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F26
伯	U+4F2F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F2F
估	U+4F30	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F30
伴	U+4F34	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F34
伸	U+4F38	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F38
似	U+4F3C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F3C
低	U+4F4E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F4E
住	U+4F4F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F4F
佐	U+4F50	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F50
佛	U+4F5B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F5B
佣	U+4F63	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F63
佩	U+4F69	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F69
佳	U+4F73	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F73
來	U+4F86	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F86
依	U+4F9D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4F9D
侠	U+4FA0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FA0
侣	U+4FA3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FA3
侧	U+4FA7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FA7
侯	U+4FAF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FAF
侵	U+4FB5	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FB5
便	U+4FBF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FBF
係	U+4FC2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FC2
促	U+4FC3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FC3
俄	U+4FC4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FC4
俊	U+4FCA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FCA
俗	U+4FD7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FD7
俱	U+4FF1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FF1
俺	U+4FFA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-4FFA
個	U+500B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-500B
們	U+5011	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5011
倒	U+5012	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5012
候	U+5019	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5019
借	U+501F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-501F
倡	U+5021	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5021
値	U+5024	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5024
倫	U+502B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-502B
债	U+503A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-503A
倾	U+503E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-503E
假	U+5047	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5047
偏	U+504F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-504F
做	U+505A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-505A
健	U+5065	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5065
側	U+5074	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5074
偶	U+5076	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5076
偷	U+5077	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5077
偿	U+507F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-507F
傅	U+5085	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5085
備	U+5099	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5099
储	U+50A8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-50A8
催	U+50AC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-50AC
傳	U+50B3	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-50B3
傷	U+50B7	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-50B7
働	U+50CD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-50CD
僕	U+50D5	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-50D5
價	U+50F9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-50F9
億	U+5104	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5104
優	U+512A	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-512A
儿	U+513F	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-513F
允	U+5141	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5141
兄	U+5144	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5144
充	U+5145	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5145
兆	U+5146	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5146
光	U+5149	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5149
克	U+514B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-514B
免	U+514D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-514D
児	U+5150	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5150
兑	U+5151	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5151
兒	U+5152	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5152
兔	U+5154	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5154
党	U+515A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-515A
內	U+5167	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5167
兩	U+5169	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5169
八	U+516B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-516B
六	U+516D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-516D
兰	U+5170	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5170
兴	U+5174	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5174
兵	U+5175	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5175
典	U+5178	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5178
养	U+517B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-517B
兼	U+517C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-517C
兽	U+517D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-517D
冈	U+5188	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5188
冊	U+518A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-518A
冒	U+5192	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5192
军	U+519B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-519B
农	U+519C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-519C
冠	U+51A0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51A0
冬	U+51AC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51AC
冰	U+51B0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51B0
冲	U+51B2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51B2
决	U+51B3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51B3
况	U+51B5	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51B5
冷	U+51B7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51B7
冻	U+51BB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51BB
净	U+51C0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51C0
准	U+51C6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51C6
凉	U+51C9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51C9
凌	U+51CC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51CC
减	U+51CF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51CF
凝	U+51DD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51DD
几	U+51E0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51E0
凡	U+51E1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51E1
凤	U+51E4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51E4
処	U+51E6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51E6
凭	U+51ED	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51ED
凯	U+51EF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51EF
凰	U+51F0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51F0
凸	U+51F8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51F8
函	U+51FD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-51FD
刀	U+5200	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5200
切	U+5207	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5207
刊	U+520A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-520A
刑	U+5211	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5211
划	U+5212	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5212
刘	U+5218	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5218
刚	U+521A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-521A
创	U+521B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-521B
删	U+5220	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5220
判	U+5224	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5224
別	U+5225	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5225
刷	U+5237	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5237
券	U+5238	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5238
刺	U+523A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-523A
刻	U+523B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-523B
剂	U+5242	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5242
則	U+5247	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5247
削	U+524A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-524A
剑	U+5251	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5251
剤	U+5264	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5264
剧	U+5267	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5267
剩	U+5269	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5269
剪	U+526A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-526A
副	U+526F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-526F
割	U+5272	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5272
創	U+5275	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5275
劇	U+5287	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5287
办	U+529E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-529E
助	U+52A9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52A9
努	U+52AA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52AA
励	U+52B1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52B1
劲	U+52B2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52B2
劳	U+52B3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52B3
効	U+52B9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52B9
势	U+52BF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52BF
勇	U+52C7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52C7
勒	U+52D2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52D2
務	U+52D9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52D9
勝	U+52DD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52DD
募	U+52DF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52DF
勢	U+52E2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52E2
勤	U+52E4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52E4
勿	U+52FF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-52FF
匙	U+5319	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5319
匹	U+5339	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5339
医	U+533B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-533B
區	U+5340	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5340
千	U+5343	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5343
升	U+5347	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5347
半	U+534A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-534A
协	U+534F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-534F
卒	U+5352	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5352
卓	U+5353	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5353
協	U+5354	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5354
卖	U+5356	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5356
単	U+5358	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5358
博	U+535A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-535A
占	U+5360	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5360
卡	U+5361	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5361
卢	U+5362	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5362
卧	U+5367	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5367
卫	U+536B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-536B
印	U+5370	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5370
危	U+5371	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5371
却	U+5374	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5374
卷	U+5377	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5377
卸	U+5378	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5378
厂	U+5382	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5382
厅	U+5385	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5385
厉	U+5389	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5389
压	U+538B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-538B
厕	U+5395	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5395
厘	U+5398	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5398
厚	U+539A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-539A
厦	U+53A6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53A6
厨	U+53A8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53A8
參	U+53C3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53C3
又	U+53C8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53C8
叉	U+53C9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53C9
双	U+53CC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53CC
収	U+53CE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53CE
叔	U+53D4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53D4
受	U+53D7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53D7
古	U+53E4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53E4
句	U+53E5	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53E5
另	U+53E6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53E6
叫	U+53EB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53EB
召	U+53EC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53EC
史	U+53F2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53F2
叶	U+53F6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-53F6
吃	U+5403	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5403
各	U+5404	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5404
吉	U+5409	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5409
吊	U+540A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-540A
吐	U+5410	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5410
吕	U+5415	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5415
吗	U+5417	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5417
君	U+541B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-541B
吞	U+541E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-541E
吟	U+541F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-541F
吧	U+5427	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5427
吨	U+5428	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5428
吴	U+5434	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5434
吸	U+5438	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5438
吹	U+5439	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5439
吻	U+543B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-543B
吾	U+543E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-543E
呀	U+5440	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5440
呈	U+5448	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5448
呢	U+5462	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5462
味	U+5473	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5473
呵	U+5475	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5475
呻	U+547B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-547B
呼	U+547C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-547C
咋	U+548B	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-548B
咖	U+5496	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5496
咨	U+54A8	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-54A8
咪	U+54AA	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-54AA
响	U+54CD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54CD
員	U+54E1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54E1
哥	U+54E5	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54E5
哦	U+54E6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54E6
哪	U+54EA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54EA
哭	U+54ED	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54ED
哲	U+54F2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-54F2
唐	U+5510	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5510
售	U+552E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-552E
唯	U+552F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-552F
唱	U+5531	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5531
啊	U+554A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-554A
啥	U+5565	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5565
啦	U+5566	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5566
啪	U+556A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-556A
善	U+5584	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5584
喊	U+558A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-558A
喘	U+5598	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5598
喜	U+559C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-559C
喝	U+559D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-559D
單	U+55AE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-55AE
営	U+55B6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-55B6
喷	U+55B7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-55B7
