glyph	codepoint	block	cl100k	o200k	tier	unicode_name
嗎	U+55CE	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-55CE
嗯	U+55EF	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-55EF
嘉	U+5609	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5609
嘎	U+560E	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-560E
嘛	U+561B	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-561B
嘴	U+5634	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5634
嘿	U+563F	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-563F
噜	U+565C	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-565C
团	U+56E2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56E2
団	U+56E3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56E3
园	U+56ED	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56ED
困	U+56F0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56F0
囲	U+56F2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56F2
図	U+56F3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56F3
围	U+56F4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56F4
固	U+56FA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-56FA
圆	U+5706	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5706
圈	U+5708	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5708
國	U+570B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-570B
園	U+5712	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5712
圖	U+5716	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5716
團	U+5718	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5718
圣	U+5723	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5723
圳	U+5733	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5733
圾	U+573E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-573E
坂	U+5742	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5742
均	U+5747	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5747
坊	U+574A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-574A
坏	U+574F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-574F
坐	U+5750	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5750
坑	U+5751	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5751
块	U+5757	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5757
坚	U+575A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-575A
坛	U+575B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-575B
坝	U+575D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-575D
坡	U+5761	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5761
坦	U+5766	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5766
坪	U+576A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-576A
垃	U+5783	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5783
埃	U+57C3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-57C3
埔	U+57D4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-57D4
域	U+57DF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-57DF
培	U+57F9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-57F9
堂	U+5802	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5802
堡	U+5821	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5821
堵	U+5835	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5835
塑	U+5851	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5851
塔	U+5854	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5854
塘	U+5858	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5858
塞	U+585E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-585E
境	U+5883	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5883
墓	U+5893	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5893
増	U+5897	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5897
墙	U+5899	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5899
墨	U+58A8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58A8
壁	U+58C1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58C1
壇	U+58C7	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58C7
士	U+58EB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58EB
壮	U+58EE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58EE
売	U+58F2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-58F2
変	U+5909	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5909
夏	U+590F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-590F
夕	U+5915	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5915
夜	U+591C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-591C
够	U+591F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-591F
夢	U+5922	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5922
太	U+592A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-592A
夫	U+592B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-592B
央	U+592E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-592E
夹	U+5939	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5939
夺	U+593A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-593A
奇	U+5947	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5947
奈	U+5948	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5948
奉	U+5949	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5949
奋	U+594B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-594B
奏	U+594F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-594F
契	U+5951	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5951
奔	U+5954	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5954
奖	U+5956	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5956
套	U+5957	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5957
奥	U+5965	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5965
奴	U+5974	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5974
奶	U+5976	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5976
奷	U+5977	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5977
奸	U+5978	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5978
她	U+5979	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5979
妇	U+5987	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5987
妈	U+5988	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5988
妓	U+5993	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5993
妖	U+5996	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5996
妙	U+5999	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5999
妞	U+599E	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-599E
妮	U+59AE	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-59AE
妹	U+59B9	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-59B9
妻	U+59BB	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-59BB
姆	U+59C6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59C6
姐	U+59D0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59D0
姑	U+59D1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59D1
姓	U+59D3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59D3
委	U+59D4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59D4
姚	U+59DA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59DA
姜	U+59DC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59DC
姨	U+59E8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59E8
姿	U+59FF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-59FF
威	U+5A01	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A01
娃	U+5A03	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A03
娇	U+5A07	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A07
娘	U+5A18	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A18
娛	U+5A1B	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A1B
娜	U+5A1C	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A1C
娱	U+5A31	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A31
婆	U+5A46	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A46
婚	U+5A5A	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A5A
婦	U+5A66	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A66
婷	U+5A77	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A77
媒	U+5A92	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5A92
媳	U+5AB3	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5AB3
媽	U+5ABD	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5ABD
嫁	U+5AC1	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5AC1
嫂	U+5AC2	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5AC2
嫌	U+5ACC	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5ACC
嫩	U+5AE9	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5AE9
嬉	U+5B09	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5B09
孔	U+5B54	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B54
孕	U+5B55	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B55
孙	U+5B59	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B59
孟	U+5B5F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B5F
季	U+5B63	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B63
孤	U+5B64	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B64
孩	U+5B69	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B69
學	U+5B78	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B78
宁	U+5B81	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B81
它	U+5B83	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B83
宅	U+5B85	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B85
宇	U+5B87	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B87
守	U+5B88	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B88
宏	U+5B8F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B8F
宗	U+5B97	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B97
官	U+5B98	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B98
宜	U+5B9C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B9C
宝	U+5B9D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B9D
実	U+5B9F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5B9F
宠	U+5BA0	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BA0
宣	U+5BA3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BA3
室	U+5BA4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BA4
宫	U+5BAB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BAB
宮	U+5BAE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BAE
害	U+5BB3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BB3
宴	U+5BB4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BB4
宽	U+5BBD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BBD
宾	U+5BBE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BBE
宿	U+5BBF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BBF
寄	U+5BC4	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BC4
富	U+5BCC	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BCC
寒	U+5BD2	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BD2
寓	U+5BD3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BD3
寝	U+5BDD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BDD
察	U+5BDF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BDF
實	U+5BE6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BE6
寨	U+5BE8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BE8
寫	U+5BEB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BEB
寶	U+5BF6	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BF6
寸	U+5BF8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BF8
寺	U+5BFA	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BFA
寻	U+5BFB	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BFB
対	U+5BFE	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BFE
寿	U+5BFF	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5BFF
封	U+5C01	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C01
専	U+5C02	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C02
射	U+5C04	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C04
將	U+5C07	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C07
專	U+5C08	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C08
尊	U+5C0A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C0A
尋	U+5C0B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C0B
對	U+5C0D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C0D
導	U+5C0E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C0E
尖	U+5C16	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C16
尚	U+5C1A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C1A
尝	U+5C1D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C1D
尤	U+5C24	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C24
尸	U+5C38	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C38
尺	U+5C3A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C3A
尼	U+5C3C	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C3C
尽	U+5C3D	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C3D
尾	U+5C3E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C3E
尿	U+5C3F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C3F
屁	U+5C41	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C41
层	U+5C42	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C42
居	U+5C45	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C45
届	U+5C4A	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C4A
屋	U+5C4B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C4B
屏	U+5C4F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C4F
属	U+5C5E	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C5E
履	U+5C65	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C65
屯	U+5C6F	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C6F
岗	U+5C97	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C97
岛	U+5C9B	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5C9B
岡	U+5CA1	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5CA1
岩	U+5CA9	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5CA9
岭	U+5CAD	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5CAD
岳	U+5CB3	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5CB3
岸	U+5CB8	cjk_unified	2	1	B	CJK UNIFIED IDEOGRAPH-5CB8
峡	U+5CE1	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5CE1
峰	U+5CF0	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5CF0
島	U+5CF6	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5CF6
崎	U+5D0E	cjk_unified	3	1	B	CJK UNIFIED IDEOGRAPH-5D0E
∀	U+2200	math_operators	2	1	B	FOR ALL
∆	U+2206	math_operators	2	1	B	INCREMENT
∙	U+2219	math_operators	2	1	B	BULLET OPERATOR
√	U+221A	math_operators	2	1	B	SQUARE ROOT
∞	U+221E	math_operators	2	1	B	INFINITY
∨	U+2228	math_operators	2	1	B	LOGICAL OR
≈	U+2248	math_operators	2	1	B	ALMOST EQUAL TO
≤	U+2264	math_operators	2	1	B	LESS-THAN OR EQUAL TO
≥	U+2265	math_operators	2	1	B	GREATER-THAN OR EQUAL TO
≫	U+226B	math_operators	2	1	B	MUCH GREATER-THAN
℃	U+2103	letterlike	2	1	B	DEGREE CELSIUS
№	U+2116	letterlike	2	1	B	NUMERO SIGN
Ω	U+2126	letterlike	2	1	B	OHM SIGN
⇒	U+21D2	arrows	3	1	B	RIGHTWARDS DOUBLE ARROW
□	U+25A1	geometric_shapes	2	1	B	WHITE SQUARE
▪	U+25AA	geometric_shapes	2	1	B	BLACK SMALL SQUARE
▫	U+25AB	geometric_shapes	2	1	B	WHITE SMALL SQUARE
▬	U+25AC	geometric_shapes	2	1	B	BLACK RECTANGLE
▲	U+25B2	geometric_shapes	2	1	B	BLACK UP-POINTING TRIANGLE
△	U+25B3	geometric_shapes	2	1	B	WHITE UP-POINTING TRIANGLE
▶	U+25B6	geometric_shapes	2	1	B	BLACK RIGHT-POINTING TRIANGLE
▷	U+25B7	geometric_shapes	2	1	B	WHITE RIGHT-POINTING TRIANGLE
▼	U+25BC	geometric_shapes	2	1	B	BLACK DOWN-POINTING TRIANGLE
▽	U+25BD	geometric_shapes	2	1	B	WHITE DOWN-POINTING TRIANGLE
◆	U+25C6	geometric_shapes	2	1	B	BLACK DIAMOND
◇	U+25C7	geometric_shapes	2	1	B	WHITE DIAMOND
○	U+25CB	geometric_shapes	2	1	B	WHITE CIRCLE
◎	U+25CE	geometric_shapes	2	1	B	BULLSEYE
☎	U+260E	misc_symbols	2	1	B	BLACK TELEPHONE
☺	U+263A	misc_symbols	2	1	B	WHITE SMILING FACE
♂	U+2642	misc_symbols	2	1	B	MALE SIGN
♡	U+2661	misc_symbols	2	1	B	WHITE HEART SUIT
♦	U+2666	misc_symbols	2	1	B	BLACK DIAMOND SUIT
♫	U+266B	misc_symbols	2	1	B	BEAMED EIGHTH NOTES
✅	U+2705	dingbats	2	1	B	WHITE HEAVY CHECK MARK
✓	U+2713	dingbats	2	1	B	CHECK MARK
✨	U+2728	dingbats	2	1	B	SPARKLES
❤	U+2764	dingbats	2	1	B	HEAVY BLACK HEART
➡	U+27A1	dingbats	2	1	B	BLACK RIGHTWARDS ARROW
①	U+2460	enclosed_alnum	2	1	B	CIRCLED DIGIT ONE
②	U+2461	enclosed_alnum	2	1	B	CIRCLED DIGIT TWO
③	U+2462	enclosed_alnum	2	1	B	CIRCLED DIGIT THREE
④	U+2463	enclosed_alnum	2	1	B	CIRCLED DIGIT FOUR
⑤	U+2464	enclosed_alnum	2	1	B	CIRCLED DIGIT FIVE
┃	U+2503	box_drawing	2	1	B	BOX DRAWINGS HEAVY VERTICAL
├	U+251C	box_drawing	2	1	B	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
┣	U+2523	box_drawing	2	1	B	BOX DRAWINGS HEAVY VERTICAL AND RIGHT
▀	U+2580	block_elements	2	1	B	UPPER HALF BLOCK
▄	U+2584	block_elements	2	1	B	LOWER HALF BLOCK
▋	U+258B	block_elements	2	1	B	LEFT FIVE EIGHTHS BLOCK
▒	U+2592	block_elements	2	1	B	MEDIUM SHADE
▓	U+2593	block_elements	2	1	B	DARK SHADE
々	U+3005	cjk_symbols	2	1	B	IDEOGRAPHIC ITERATION MARK
〇	U+3007	cjk_symbols	2	1	B	IDEOGRAPHIC NUMBER ZERO
〈	U+3008	cjk_symbols	2	1	B	LEFT ANGLE BRACKET
〉	U+3009	cjk_symbols	2	1	B	RIGHT ANGLE BRACKET
〒	U+3012	cjk_symbols	2	1	B	POSTAL MARK
〔	U+3014	cjk_symbols	2	1	B	LEFT TORTOISE SHELL BRACKET
〕	U+3015	cjk_symbols	2	1	B	RIGHT TORTOISE SHELL BRACKET
〖	U+3016	cjk_symbols	2	1	B	LEFT WHITE LENTICULAR BRACKET
